season,team_id,Z_mean,Z_max_abs,frac_outlier_90,frac_outlier_95,n_weeks
20,Noah Galloway__Sharna Burgess,1.4542449414730072,2.2663469314575195,0.2,0.2,10
20,Patti LaBelle__Artem Chigvintsev,-0.10392253349224727,1.5025362968444824,0.0,0.0,6
20,Redfoo__Emma Slater,-1.936206042766571,2.0903687477111816,1.0,0.5,2
20,Riker Lynch__Allison Holker,-0.22506215539760888,1.0211423635482788,0.0,0.0,10
20,Robert Herjavec__Kym Johnson,0.6043082312680781,1.4485697746276855,0.0,0.0,8
20,Rumer Willis__Valentin Chmerkovskiy,-0.0650604635477066,0.6571386456489563,0.0,0.0,10
20,Suzanne Somers__Tony Dovolani,-0.2831975396722555,0.716322124004364,0.0,0.0,5
20,Willow Shields__Mark Ballas,-1.2632509521873934,2.0560617446899414,0.42857142857142855,0.14285714285714285,7
21,Alek Skarlatos__Lindsay Arnold,1.1638490144502034,2.0931637287139893,0.2727272727272727,0.18181818181818182,11
21,Alexa PenaVega__Mark Ballas,-0.9384864999188317,1.948106050491333,0.1111111111111111,0.0,9
21,Andy Grammer__Allison Holker,-0.5054932818748057,1.4751293659210205,0.0,0.0,8
21,Bindi Irwin__Derek Hough,-0.6447557234205306,1.5646575689315796,0.0,0.0,11
21,Carlos PenaVega__Witney Carson,0.25685921988703986,0.6032087802886963,0.0,0.0,11
21,Chaka Khan__Keo Motsepe,0.5359425246715546,0.5962082147598267,0.0,0.0,2
21,Gary Busey__Anna Trebunskaya,0.856778372079134,1.7098520994186401,0.25,0.0,4
21,Hayes Grier__Emma Slater,-1.2750348363603865,2.0092148780822754,0.2857142857142857,0.14285714285714285,7
21,Kim Zolciak-Biermann__Tony Dovolani,1.334040880203247,2.0110652446746826,0.5,0.5,2
21,Nick Carter__Sharna Burgess,0.0639835994859988,0.9387564063072205,0.0,0.0,11
21,Paula Deen__Louis van Amstel,1.3687806973854701,2.511687994003296,0.3333333333333333,0.16666666666666666,6
21,Tamar Braxton__Valentin Chmerkovskiy,-0.17001291716264355,1.1898373365402222,0.0,0.0,9
21,Victor Espinoza__Karina Smirnoff,-0.8366883993148804,1.3620624542236328,0.0,0.0,2
22,Antonio Brown__Sharna Burgess,0.5507387386427985,1.6121046543121338,0.0,0.0,9
22,Doug Flutie__Karina Smirnoff,0.4044233088692029,2.197826623916626,0.3333333333333333,0.3333333333333333,6
22,Geraldo Rivera__Edyta Sliwinska,1.1278327703475952,1.1546614170074463,0.0,0.0,2
22,Ginger Zee__Valentin Chmerkovskiy,0.6512992031872272,1.8582123517990112,0.1,0.0,10
22,Jodie Sweetin__Keo Motsepe,-0.9235416650772095,2.202902317047119,0.25,0.125,8
22,Kim Fields__Sasha Farber,-0.08087598266346115,1.2294501066207886,0.0,0.0,7
22,Marla Maples__Tony Dovolani,-1.4624816477298737,1.715183973312378,0.25,0.0,4
22,Mischa Barton__Artem Chigvintsev,-0.48749539256095886,1.2012139558792114,0.0,0.0,3
